iter	Passed	Remaining
386	21321	33772
387	21345	33668
388	21361	33552
389	21379	33439
390	21414	33354
391	21449	33268
392	21475	33169
393	21495	33061
394	21525	32969
395	21542	32857
396	21557	32743
397	21579	32640
398	21603	32539
399	21628	32442
400	21654	32347
401	21675	32243
402	21712	32164
403	21733	32062
404	21759	31967
405	21785	31872
406	21815	31785
407	21850	31704
408	21873	31606
409	21895	31507
410	21912	31402
411	21947	31322
412	21975	31234
413	22005	31147
414	22038	31066
415	22064	30975
416	22087	30879
417	22113	30789
418	22139	30699
419	22165	30609
420	22186	30512
421	22212	30423
422	22227	30320
423	22246	30221
424	22266	30125
425	22298	30044
426	22322	29955
427	22337	29853
428	22356	29756
429	22385	29674
430	22406	29580
431	22445	29511
432	22476	29432
433	22509	29355
434	22532	29266
435	22553	29174
436	22576	29086
437	22602	29001
438	22627	28915
439	22645	28822
440	22676	28744
441	22710	28670
442	22734	28585
443	22771	28515
444	22800	28436
445	22845	28377
446	22874	28298
447	22912	28231
448	22959	28174
449	22978	28084
450	22999	27996
451	23029	27921
452	23053	27836
453	23077	27754
454	23104	27674
455	23126	27589
456	23153	27510
457	23176	27426
458	23188	27331
459	23213	27250
460	23244	27177
461	23272	27100
462	23292	27014
463	23309	26926
464	23330	26842
465	23348	26755
466	23367	26670
467	23390	26588
468	23417	26512
469	23447	26440
470	23475	26366
471	23500	26288
472	23512	26196
473	23530	26111
474	23552	26032
475	23579	25957
476	23605	25882
477	23626	25801
478	23648	25722
479	23671	25644
480	23725	25600
481	23752	25526
482	23783	25457
483	23805	25379
484	23831	25305
485	23855	25230
486	23881	25156
487	23899	25074
488	23920	24996
489	23943	24920
490	23967	24846
491	23997	24777
492	24016	24698
493	24059	24643
494	24114	24601
495	24140	24529
496	24171	24463
497	24197	24391
498	24222	24319
499	24257	24257
500	24280	24183
501	24308	24114
502	24323	24033
503	24348	23961
504	24369	23887
505	24397	23819
506	24426	23752
507	24467	23696
508	24497	23630
509	24516	23555
510	24544	23487
511	24564	23413
512	24589	23343
513	24614	23273
514	24648	23212
515	24671	23141
516	24691	23067
517	24712	22995
518	24740	22929
519	24772	22866
520	24802	22802
521	24831	22738
522	24866	22679
523	24911	22629
524	24925	22552
525	24956	22489
526	24975	22416
527	24996	22345
528	25012	22269
529	25030	22196
530	25055	22130
531	25081	22063
532	25105	21996
533	25139	21938
534	25155	21864
535	25171	21790
536	25189	21718
537	25210	21649
538	25250	21596
539	25277	21532
540	25294	21460
541	25310	21388
542	25337	21324
543	25366	21262
544	25391	21198
545	25417	21134
546	25451	21077
547	25478	21014
548	25501	20949
549	25531	20889
550	25561	20829
551	25601	20777
552	25673	20752
553	25724	20709
554	25775	20666
555	25811	20611
556	25832	20545
557	25858	20483
558	25887	20423
559	25913	20360
560	25934	20294
561	25954	20227
562	25990	20173
563	26022	20116
564	26058	20062
565	26080	19998
566	26110	19939
567	26155	19893
568	26186	19835
569	26240	19795
570	26264	19732
571	26281	19665
572	26300	19599
573	26327	19538
574	26354	19479
575	26397	19431
576	26427	19374
577	26455	19315
578	26470	19246
579	26494	19185
580	26526	19130
581	26570	19083
582	26600	19026
583	26628	18967
584	26648	18904
585	26671	18842
586	26688	18777
587	26710	18715
588	26740	18659
589	26761	18596
590	26790	18540
591	26815	18480
592	26839	18421
593	26867	18363
594	26896	18307
595	26914	18243
596	26934	18181
597	26962	18125
598	26981	18062
599	27015	18010
600	27039	17951
601	27061	17891
602	27082	17830
603	27104	17770
604	27132	17714
605	27155	17655
606	27172	17592
607	27189	17530
608	27212	17471
609	27231	17410
610	27271	17362
611	27301	17308
612	27342	17261
613	27370	17207
614	27422	17166
615	27448	17111
616	27472	17053
617	27498	16997
618	27527	16943
619	27551	16886
620	27568	16825
621	27594	16769
622	27610	16708
623	27629	16648
624	27661	16596
625	27692	16544
626	27719	16490
627	27751	16438
628	27781	16386
629	27804	16329
630	27829	16274
631	27856	16220
632	27875	16161
633	27923	16119
634	27950	16065
635	27974	16010
636	27998	15954
637	28023	15900
638	28049	15846
639	28074	15791
640	28091	15732
641	28120	15680
642	28144	15626
643	28177	15576
644	28208	15525
645	28234	15472
646	28260	15418
647	28289	15366
648	28312	15312
649	28336	15258
650	28359	15203
651	28384	15149
652	28406	15094
653	28434	15043
654	28461	14991
655	28494	14942
656	28529	14894
657	28552	14840
658	28576	14786
659	28609	14738
660	28640	14688
661	28690	14648
662	28715	14595
663	28749	14547
664	28772	14494
665	28805	14446
666	28834	14395
667	28861	14344
668	28901	14299
669	28940	14254
670	28974	14206
671	29009	14159
672	29039	14109
673	29064	14058
674	29084	14003
675	29107	13950
676	29128	13897
677	29160	13848
678	29185	13797
679	29203	13743
680	29226	13690
681	29250	13638
682	29285	13592
683	29309	13540
684	29333	13489
685	29347	13433
686	29366	13379
687	29398	13331
688	29432	13285
689	29459	13235
690	29489	13187
691	29512	13135
692	29540	13086
693	29577	13041
694	29595	12987
695	29618	12936
696	29642	12886
697	29671	12837
698	29688	12784
699	29721	12737
700	29751	12690
701	29775	12639
702	29809	12593
703	29838	12545
704	29863	12496
705	29887	12445
706	29902	12392
707	29922	12340
708	29941	12289
709	29967	12240
710	29990	12190
711	30023	12144
712	30051	12096
713	30067	12043
714	30079	11989
715	30099	11938
716	30120	11888
717	30145	11839
718	30168	11790
719	30188	11740
720	30213	11691
721	30242	11644
722	30276	11599
723	30298	11550
724	30321	11501
725	30341	11451
726	30358	11399
727	30375	11349
728	30392	11298
729	30410	11247
730	30428	11197
731	30461	11152
732	30483	11103
733	30505	11055
734	30525	11005
735	30541	10955
736	30556	10904
737	30572	10853
738	30594	10805
739	30612	10755
740	30636	10708
741	30660	10660
742	30671	10609
743	30695	10561
744	30721	10515
745	30747	10469
746	30775	10423
747	30805	10378
748	30829	10331
749	30875	10291
750	30907	10247
751	30936	10202
752	30959	10155
753	30997	10113
754	31031	10069
755	31058	10024
756	31093	9981
757	31137	9940
758	31167	9896
759	31212	9856
760	31253	9815
761	31288	9772
762	31322	9729
763	31357	9686
764	31388	9642
765	31431	9601
766	31472	9560
767	31518	9521
768	31561	9480
769	31625	9446
770	31693	9413
771	31724	9369
772	31759	9326
773	31803	9286
774	31848	9246
775	31883	9203
776	31920	9161
777	31956	9118
778	31997	9077
779	32038	9036
780	32076	8994
781	32121	8954
782	32160	8913
783	32188	8868
784	32238	8829
785	32285	8790
786	32330	8750
787	32370	8708
788	32431	8673
789	32458	8628
790	32502	8587
791	32549	8548
792	32611	8512
793	32662	8474
794	32690	8429
795	32730	8388
796	32771	8347
797	32816	8306
798	32855	8265
799	32874	8218
800	32909	8176
801	32951	8135
802	33004	8097
803	33048	8056
804	33102	8018
805	33143	7977
806	33179	7935
807	33236	7897
808	33255	7851
809	33298	7810
810	33344	7770
811	33391	7730
812	33448	7693
813	33505	7655
814	33538	7613
815	33565	7568
816	33598	7525
817	33630	7482
818	33656	7438
819	33695	7396
820	33761	7360
821	33792	7317
822	33832	7276
823	33902	7241
824	33964	7204
825	33999	7162
826	34038	7120
827	34094	7082
828	34129	7039
829	34167	6998
830	34211	6957
831	34245	6914
832	34265	6869
833	34312	6829
834	34364	6790
835	34408	6749
836	34433	6705
837	34474	6664
838	34514	6623
839	34556	6582
840	34600	6541
841	34636	6499
842	34678	6458
843	34716	6416
844	34742	6372
845	34797	6334
846	34844	6294
847	34885	6253
848	34924	6211
849	34956	6168
850	34994	6127
851	35026	6084
852	35054	6041
853	35088	5998
854	35119	5955
855	35143	5911
856	35176	5869
857	35214	5827
858	35244	5785
859	35282	5743
860	35315	5701
861	35337	5657
862	35373	5615
863	35415	5574
864	35456	5533
865	35495	5492
866	35528	5450
867	35563	5408
868	35600	5366
869	35653	5327
870	35689	5285
871	35726	5244
872	35771	5203
873	35813	5163
874	35852	5121
875	35885	5079
876	35933	5039
877	35969	4998
878	36005	4956
879	36046	4915
880	36105	4876
881	36160	4837
882	36206	4797
883	36252	4757
884	36299	4716
885	36342	4676
886	36378	4634
887	36425	4594
888	36474	4554
889	36524	4514
890	36561	4472
891	36616	4433
892	36661	4392
893	36702	4351
894	36747	4311
895	36784	4269
896	36821	4228
897	36859	4186
898	36881	4143
899	36926	4102
900	36976	4062
901	37013	4021
902	37043	3979
903	37076	3937
904	37114	3895
905	37164	3855
906	37194	3813
907	37233	3772
908	37281	3732
909	37314	3690
910	37342	3648
911	37400	3608
912	37448	3568
913	37491	3527
914	37522	3485
915	37571	3445
916	37623	3405
917	37659	3363
918	37699	3322
919	37729	3280
920	37774	3240
921	37816	3199
922	37862	3158
923	37906	3117
924	37946	3076
925	37975	3034
926	38006	2992
927	38060	2952
928	38099	2911
929	38145	2871
930	38196	2830
931	38246	2790
932	38287	2749
933	38334	2708
934	38390	2668
935	38422	2627
936	38452	2585
937	38499	2544
938	38539	2503
939	38561	2461
940	38585	2419
941	38608	2377
942	38630	2335
943	38655	2293
944	38677	2251
945	38703	2209
946	38725	2167
947	38747	2125
948	38772	2083
949	38790	2041
950	38808	1999
951	38826	1957
952	38844	1915
953	38863	1873
954	38885	1832
955	38903	1790
956	38923	1748
957	38940	1707
958	38958	1665
959	38984	1624
960	39005	1582
961	39021	1541
962	39034	1499
963	39058	1458
964	39075	1417
965	39094	1375
966	39111	1334
967	39128	1293
968	39147	1252
969	39168	1211
970	39190	1170
971	39208	1129
972	39226	1088
973	39248	1047
974	39269	1006
975	39288	966
976	39307	925
977	39325	884
978	39343	843
979	39362	803
980	39384	762
981	39403	722
982	39420	681
983	39439	641
984	39452	600
985	39475	560
986	39497	520
987	39512	479
988	39534	439
989	39555	399
990	39571	359
991	39589	319
992	39607	279
993	39626	239
994	39642	199
995	39661	159
996	39684	119
997	39704	79
998	39724	39
999	39744	0
9	38
999	38868	0
886
974	108205	2774
975	108292	2662
976	108352	2550
977	108420	2438
978	108506	2327
979	108561	2215
980	108593	2103
981	108635	1991
982	108714	1880
983	108787	1768
984	108820	1657
985	108871	1545
986	108898	1434
987	108950	1323
988	108985	1212
989	109045	1101
990	109109	990
991	109175	880
992	109262	770
993	109312	659
994	109339	549
995	109380	439
996	109404	329
997	109426	219
998	109451	109
999	109490	0
