P,Ti,Cr,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ag,Sb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,W,Bi,Pb,Deposit_Type,Fe,Ge,Te,Au,S,V,Mn,Cd,Sn,Ba,Tl,Na,Mg,Al,Si,K,Ca,Ga,In
90.517,6.2105,1.1737,4116.7326,81.4529,0.2898,1.4136,257.9315,,0.5063,0.1797,0.0081,0.0729,0.0579,0.0032,,,0.0573,0.1481,0.0046,,,,,0.0068,0.0022,0.0106,,0.0109,0.9274,1.3202,Porphyry,,,,,,,,,,,,,,,,,,,
109.9606,4.9979,0.8826,2384.6766,224.7375,3.0433,2.4632,15.0667,19.4082,3.4249,1.247,0.0237,0.0928,,0.0074,,0.0046,,0.1728,,,,,0.0019,,,0.0082,0.0024,,26.4284,45.5069,Porphyry,,,,,,,,,,,,,,,,,,,
118.3088,6.5557,0.2061,1275.486,52.7874,0.1746,1.6272,24.1259,25.6262,0.4048,0.2831,0.0755,,0.0013,0.0026,,0.0008,,0.0779,,0.0129,0.0017,0.0077,0.002,0.0055,0.0036,0.0086,0.0019,,1.0729,1.0671,Porphyry,,,,,,,,,,,,,,,,,,,
113.1241,5.1639,1.6516,1245.6729,194.2875,0.2385,1.4484,8.9044,28.5042,0.5627,0.2871,0.1188,0.0244,0.0387,,0.0078,0.0094,0.0672,,0.0058,0.0102,,0.0181,0.0016,,,0.0067,0.0015,0.0069,2.3785,1.912,Porphyry,,,,,,,,,,,,,,,,,,,
77.8263,5.1099,4.4611,1814.9775,175.4654,0.8483,2.0768,3.9935,11.5739,0.0165,0.0574,0.1901,,0.0469,,0.014,,,,,,,,,,,0.0173,,,0.5252,0.3931,Porphyry,,,,,,,,,,,,,,,,,,,
73.7301,5.1976,0.4331,3397.6088,124.7265,0.0501,1.5063,118.0008,4.4422,0.1093,0.0273,,,0.0362,0.0026,0.0024,,0.0493,0.0469,0.015,0.0132,0.0025,,,,,,,,1.2183,0.9857,Porphyry,,,,,,,,,,,,,,,,,,,
98.2201,5.8208,1.1661,3524.7698,134.2444,1.2253,2.4821,176.6962,10.5361,1.5448,0.5533,0.0296,0.045,0.0359,0.0048,,0.0007,0.0317,0.1254,0.0015,,,,0.0007,0.0071,0.0016,0.0102,0.0008,0.0075,9.596,16.0304,Porphyry,,,,,,,,,,,,,,,,,,,
117.4899,5.0308,1.0761,2131.9161,169.1574,2.1301,2.7196,18.9654,29.0709,2.4118,0.8842,0.0323,0.0604,0.0078,0.0065,,0.0023,,0.1234,,0.0073,,0.0043,0.0024,,0.002,0.0056,0.0016,,18.0498,30.5754,Porphyry,,,,,,,,,,,,,,,,,,,
124.1475,5.7555,0.8655,1235.1732,99.1999,0.139,1.951,18.9089,30.5484,0.207,0.1309,0.0723,0.0172,0.0179,0.0023,0.0035,0.0003,0.0213,0.0404,0.0047,0.0116,,0.0069,0.0018,0.0018,0.0032,0.0084,0.0006,,0.7003,0.6799,Porphyry,,,,,,,,,,,,,,,,,,,
107.7578,5.3562,1.3582,1264.9885,190.0778,0.2046,1.9806,6.0157,22.7285,0.2123,0.1127,0.1076,0.0131,0.0341,,0.0081,0.0036,0.0437,,0.0067,0.0034,0.0045,0.006,0.0005,,,0.0077,0.0005,0.0023,1.0385,0.8394,Porphyry,,,,,,,,,,,,,,,,,,,
