P,Ti,Cr,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ag,Sb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,W,Bi,Pb
34.9513 ,3.7741 ,1.8713 ,17.6161 ,52.5633 ,1.7115 ,2.0771 ,6.6940 ,,0.0144 ,0.0265 ,0.0731 ,0.1636 ,0.0112 ,,,,0.0286 ,0.0343 ,,,,0.0194 ,,,0.0046 ,,,,1.8232 ,5.3461 
43.7828 ,4.8637 ,0.3921 ,2.4842 ,14.3703 ,0.4606 ,1.1217 ,0.8176 ,74.9793 ,0.0801 ,,0.0351 ,0.0204 ,0.0095 ,,,0.0101 ,,0.0963 ,,,,,,,0.0016 ,0.0076 ,0.0017 ,,,0.0005 
49.7583 ,2.8686 ,2.7877 ,43.9285 ,43.5853 ,0.2689 ,2.2474 ,0.0910 ,31.7955 ,,0.0030 ,,0.0196 ,0.0003 ,0.0021 ,,0.0079 ,0.0004 ,,0.0030 ,0.0106 ,0.0016 ,,,,,,,0.0072 ,0.0092 ,0.0434 
64.8112 ,5.1927 ,1.8184 ,3.8900 ,17.1099 ,0.4869 ,1.8735 ,1.1654 ,,0.0225 ,0.0045 ,0.0161 ,0.0176 ,0.0396 ,,,,,0.1552 ,,,,0.0127 ,0.0033 ,,,0.0072 ,,,0.4262 ,1.4264 
50.5930 ,5.1677 ,1.4587 ,13.4455 ,4.1806 ,0.8161 ,0.9681 ,1.1565 ,20.1040 ,,0.0145 ,0.0103 ,,0.0570 ,0.0023 ,,,0.0040 ,,,0.0093 ,0.0035 ,,,,,0.0157 ,,0.0079 ,1.6339 ,0.8452 
70.2304 ,3.6767 ,1.2152 ,5.8268 ,15.4669 ,1.1242 ,1.7089 ,1.6066 ,21.5131 ,0.0825 ,0.0106 ,0.0062 ,0.2741 ,0.0031 ,,,0.0090 ,,,,,,0.0067 ,,0.0049 ,,,,0.0077 ,4.8493 ,3.8833 
57.8588 ,2.7939 ,4.2907 ,24.7422 ,10.3154 ,0.3543 ,1.8572 ,0.3799 ,50.2898 ,,0.0174 ,,,,0.0021 ,,,,0.0332 ,,,,0.0063 ,,,,,,0.0145 ,0.0664 ,0.0327 
61.7487 ,5.0662 ,1.9198 ,70.4481 ,54.2245 ,0.3209 ,1.6010 ,0.8477 ,23.4170 ,,0.0152 ,0.0846 ,0.0211 ,0.0061 ,,,,,0.0676 ,,0.0041 ,0.0023 ,,0.0017 ,0.0097 ,,,,0.0229 ,0.0057 ,0.0268 
53.2215 ,21.9086 ,2.0362 ,88.7586 ,59.9526 ,1.2444 ,2.9693 ,0.6224 ,2.5672 ,,0.0508 ,0.0634 ,0.2440 ,0.0049 ,0.0063 ,0.0091 ,0.0013 ,,0.0152 ,0.0061 ,0.0185 ,0.0011 ,,0.0023 ,0.0097 ,,0.0247 ,0.0043 ,,12.0591 ,4.1012 
44.2427 ,3.1904 ,1.5853 ,76.3746 ,47.2277 ,0.5668 ,2.1299 ,2.5634 ,,0.0051 ,0.0034 ,0.0281 ,0.0587 ,0.0098 ,,,,0.0113 ,0.0468 ,,0.0078 ,,0.0037 ,0.0012 ,0.0067 ,0.0018 ,0.0105 ,,,0.6157 ,1.8043 
35.9823 ,4.1193 ,2.0306 ,12.4786 ,39.4399 ,1.2314 ,2.3491 ,4.8797 ,24.9596 ,0.0340 ,0.0122 ,0.0628 ,0.1097 ,0.0101 ,,,0.0033 ,0.0208 ,0.0564 ,,,,0.0102 ,,,0.0038 ,0.0026 ,0.0006 ,,1.1878 ,3.5695 
40.3474 ,4.1559 ,1.5479 ,15.5722 ,22.3840 ,0.3147 ,1.8202 ,0.5258 ,61.0108 ,0.0508 ,,0.0219 ,0.0147 ,0.0047 ,,,0.0092 ,,0.0638 ,0.0012 ,0.0042 ,0.0006 ,,,,0.0011 ,0.0051 ,0.0011 ,0.0028 ,0.0010 ,0.0002 
50.6005 ,3.5451 ,2.3632 ,29.8104 ,33.1703 ,0.2879 ,2.6379 ,0.4811 ,21.6566 ,0.0114 ,0.0025 ,0.0057 ,0.0202 ,0.0141 ,0.0007 ,,0.0052 ,0.0001 ,0.0547 ,0.0022 ,0.0077 ,0.0012 ,0.0045 ,0.0012 ,,,0.0026 ,,0.0052 ,0.1551 ,0.5163 
58.2349 ,5.1446 ,2.0527 ,7.0207 ,12.8200 ,0.5982 ,2.1116 ,1.2025 ,8.5787 ,0.0189 ,0.0081 ,0.0142 ,0.0119 ,0.0443 ,,0.0008 ,,,0.1064 ,,,0.0013 ,0.0088 ,0.0023 ,,,0.0106 ,,0.0029 ,0.8378 ,1.2675 
58.1588 ,5.0215 ,1.9524 ,10.2278 ,7.8274 ,0.6571 ,1.8336 ,0.7513 ,18.9384 ,0.0191 ,0.0115 ,0.0066 ,,0.0360 ,0.0008 ,0.0008 ,0.0010 ,0.0013 ,,,0.0031 ,0.0024 ,0.0044 ,,,,0.0109 ,,0.0055 ,1.1943 ,0.6638 
65.9320 ,3.8279 ,1.8961 ,10.0117 ,13.7255 ,0.5991 ,2.6069 ,0.7031 ,29.0577 ,0.0466 ,0.0124 ,0.0021 ,0.0914 ,0.0010 ,,,0.0040 ,0.0047 ,0.0110 ,,0.0007 ,,0.0066 ,,0.0016 ,,,,0.0087 ,1.7438 ,1.3970 
58.1837 ,4.0254 ,2.9345 ,30.5121 ,22.7419 ,0.3014 ,2.4319 ,0.5671 ,37.8292 ,,0.0184 ,0.0217 ,0.0045 ,0.0033 ,0.0007 ,,,0.0047 ,0.0368 ,,0.0030 ,0.0011 ,0.0021 ,0.0007 ,0.0042 ,,,,0.0208 ,0.0461 ,0.0282 
60.9115 ,14.3720 ,2.0876 ,66.2253 ,56.3839 ,0.7964 ,2.7265 ,0.8610 ,12.7711 ,,0.0361 ,0.0791 ,0.1319 ,0.0053 ,0.0032 ,0.0046 ,0.0006 ,,0.0373 ,0.0031 ,0.0109 ,0.0024 ,,0.0019 ,0.0106 ,,0.0097 ,0.0022 ,0.0175 ,6.1027 ,2.0885 
64.4852 ,4.0657 ,0.2526 ,123.0167 ,63.6150 ,2.3363 ,3.9995 ,,38.9764 ,,0.0404 ,0.0899 ,0.1773 ,,0.0120 ,,0.0120 ,,,,0.0495 ,,,,,,0.0330 ,0.0074 ,,36.2692 ,17.0781 
52.0590 ,4.0357 ,0.6298 ,17.7624 ,56.4221 ,1.1165 ,3.0569 ,6.0049 ,,0.0270 ,0.0088 ,0.0723 ,0.1765 ,0.0357 ,,,,0.0286 ,0.0509 ,,,,,,,,,,,2.6108 ,6.0244 
52.7298 ,4.8817 ,2.5839 ,2.1496 ,11.9814 ,0.9485 ,2.6252 ,2.1757 ,,,0.0039 ,0.0402 ,0.0561 ,0.0198 ,,,,,0.0639 ,,,,0.0160 ,,0.0031 ,,0.0179 ,,,0.8136 ,2.3076 
62.1857 ,4.6121 ,0.2368 ,12.5859 ,4.0095 ,0.8390 ,1.5014 ,1.1171 ,,,0.0120 ,,0.0036 ,0.1527 ,,,,,,0.0011 ,0.0222 ,,,,,,,,0.0275 ,5.0257 ,2.6740 
63.1385 ,3.1890 ,0.3605 ,7.8278 ,15.9453 ,1.8746 ,1.7065 ,3.5208 ,64.6810 ,0.0847 ,0.0094 ,0.0485 ,0.1571 ,0.0064 ,,,0.0117 ,0.0307 ,,,,,,,,,,,0.0160 ,9.9093 ,7.7480 
58.9111 ,5.3886 ,0.9763 ,14.1985 ,54.5172 ,2.8227 ,2.1535 ,2.6860 ,31.4647 ,0.0980 ,0.0750 ,0.0170 ,0.8965 ,0.0739 ,,,0.0097 ,0.0071 ,0.1033 ,,,,0.0136 ,,,,0.0151 ,0.0034 ,,0.0019 ,1.9143 
67.2783 ,5.3125 ,0.3793 ,57.1911 ,28.1602 ,0.2919 ,1.2228 ,,12.5956 ,0.0239 ,0.0067 ,,0.1145 ,0.0149 ,0.0050 ,,,0.0020 ,0.0771 ,,0.0379 ,0.0057 ,0.0150 ,,0.0107 ,,0.0026 ,,,0.0081 ,0.0382 
48.8601 ,3.2513 ,4.8620 ,31.0825 ,6.8211 ,,1.4663 ,0.6439 ,42.2593 ,,0.0154 ,,5.1155 ,0.0284 ,,,,,0.0103 ,,,0.0077 ,,,,0.0018 ,,,0.0173 ,0.0005 ,0.0008 
52.9443 ,3.8197 ,1.9213 ,97.1707 ,9.1229 ,9.6208 ,3.2526 ,5.9025 ,27.1084 ,0.0321 ,0.1897 ,0.2466 ,51.8901 ,,0.0069 ,0.0147 ,,,,0.0033 ,,,0.0137 ,0.0018 ,,0.0016 ,0.0230 ,,0.0078 ,0.6715 ,5.6988 
72.1737 ,5.0266 ,,98.1721 ,1.8999 ,,2.0137 ,0.0040 ,41.2221 ,0.1160 ,0.0206 ,0.0137 ,0.0241 ,0.0098 ,,,,0.0392 ,0.0755 ,,,0.0014 ,,0.0020 ,0.0057 ,,0.0089 ,,0.0061 ,,0.0213 
64.8099 ,3.5397 ,1.0347 ,108.9511 ,7.5546 ,0.3837 ,1.5847 ,0.8236 ,12.3592 ,0.0178 ,,0.0169 ,5.0011 ,,,0.0041 ,0.0120 ,0.0032 ,,,,,,0.0017 ,,0.0047 ,,,0.0084 ,0.0096 ,0.0232 
65.6054 ,4.0168 ,0.4684 ,97.7549 ,3.3616 ,0.2250 ,1.7911 ,0.0971 ,18.6745 ,0.1328 ,0.0227 ,0.0286 ,8.6155 ,0.0037 ,,0.0025 ,0.0084 ,,0.0416 ,,,,,0.0021 ,,0.0020 ,0.0034 ,,,0.0003 ,0.0222 
44.4237 ,5.1577 ,2.3132 ,112.2855 ,7.7869 ,11.0933 ,3.1721 ,8.8630 ,43.9574 ,0.1226 ,12.9588 ,0.2063 ,3.7348 ,0.0389 ,0.0208 ,0.0496 ,,0.0086 ,0.0970 ,0.0060 ,0.0105 ,0.0063 ,0.0375 ,0.0032 ,0.0223 ,0.0044 ,,0.0016 ,,1.3785 ,20.8566 
64.3357 ,5.2255 ,0.0708 ,101.0312 ,2.8924 ,4.0398 ,1.6268 ,1.4065 ,22.7515 ,0.0749 ,0.0023 ,,1.4701 ,0.0159 ,,0.0047 ,,0.0414 ,,,0.0259 ,0.0019 ,,,,0.0018 ,,0.0020 ,,0.5744 ,5.0278 
41.6290 ,4.1063 ,1.0399 ,106.0796 ,4.6855 ,1.1067 ,1.8489 ,0.0084 ,23.8240 ,0.6271 ,0.0122 ,,0.0531 ,0.0622 ,0.0604 ,0.0022 ,,0.0075 ,,,0.0242 ,,,,0.0104 ,,0.0081 ,0.0018 ,0.0163 ,8.2422 ,1.3557 
61.2214 ,5.4044 ,1.0023 ,28.6289 ,45.8632 ,2.2736 ,2.4757 ,1.8380 ,21.1345 ,0.0649 ,0.0476 ,0.0114 ,0.5975 ,0.0484 ,0.0016 ,0.0007 ,0.0075 ,0.0105 ,0.0931 ,,0.0119 ,0.0018 ,0.0138 ,,0.0034 ,,0.0154 ,0.0023 ,,0.0032 ,1.2414 
59.5360 ,4.5958 ,0.8102 ,57.3056 ,21.5497 ,0.5533 ,1.9279 ,0.2341 ,27.4680 ,0.0122 ,0.0052 ,,1.0074 ,0.0167 ,0.0032 ,0.0007 ,,0.0088 ,0.0672 ,,0.0245 ,0.0056 ,0.0097 ,,0.0069 ,0.0006 ,0.0061 ,,0.0058 ,0.0052 ,0.0254 
47.4053 ,3.4373 ,2.3038 ,61.3192 ,7.9455 ,4.9708 ,2.9786 ,2.4082 ,49.1305 ,0.0074 ,0.0671 ,0.0528 ,18.1151 ,0.0190 ,0.0017 ,0.0039 ,,,0.0187 ,0.0012 ,,0.0045 ,0.0051 ,0.0007 ,,0.0012 ,0.0028 ,,0.0145 ,2.3317 ,10.3057 
57.1644 ,4.2969 ,1.3142 ,97.5955 ,6.5720 ,7.8444 ,3.7874 ,3.9270 ,41.1130 ,0.0595 ,0.1294 ,0.1455 ,35.4195 ,0.0032 ,0.0040 ,0.0088 ,,0.0122 ,0.0227 ,0.0023 ,,0.0004 ,0.0097 ,0.0019 ,0.0018 ,0.0005 ,0.0133 ,,0.0073 ,4.7206 ,11.5471 
68.2219 ,4.5623 ,0.6833 ,102.7203 ,3.7924 ,0.1294 ,2.5380 ,0.2537 ,40.3292 ,0.0860 ,0.0134 ,0.0208 ,0.1578 ,0.0064 ,,0.0014 ,0.0039 ,0.0253 ,0.0479 ,,,0.0009 ,,0.0019 ,0.0037 ,0.0016 ,0.0058 ,,0.0064 ,0.0032 ,0.0242 
64.2610 ,4.0265 ,1.0379 ,106.1577 ,6.2049 ,0.3353 ,2.2172 ,0.5405 ,18.9200 ,0.0504 ,0.0083 ,0.0286 ,1.0004 ,,,0.0041 ,0.0100 ,0.0011 ,,,,,,0.0017 ,,0.0037 ,,,0.0053 ,0.0065 ,0.0228 
58.8851 ,4.8234 ,0.8403 ,101.7772 ,4.8088 ,7.8610 ,3.1068 ,3.1584 ,34.1451 ,0.1253 ,0.2435 ,0.1062 ,1.3893 ,0.0197 ,0.0081 ,0.0201 ,0.0049 ,0.0019 ,0.0418 ,0.0024 ,0.0041 ,0.0025 ,0.0147 ,0.0026 ,0.0085 ,0.0028 ,0.0011 ,0.0006 ,,0.5265 ,7.7516 
51.9646 ,5.3284 ,1.4542 ,108.1196 ,6.0719 ,18.2444 ,3.5712 ,6.4854 ,43.2570 ,0.0995 ,4.5520 ,0.1482 ,3.2344 ,0.0360 ,0.0150 ,0.0358 ,,0.0201 ,0.0602 ,0.0044 ,0.0151 ,0.0051 ,0.0272 ,0.0023 ,0.0160 ,0.0037 ,,0.0017 ,,1.1470 ,16.2959 
55.6049 ,4.7080 ,0.7160 ,110.2034 ,3.8360 ,4.9062 ,2.3228 ,0.9510 ,23.1358 ,0.0446 ,0.0124 ,,1.0902 ,0.0124 ,,0.0029 ,,0.0430 ,,,0.0161 ,0.0012 ,,,,0.0011 ,,0.0012 ,0.0127 ,0.3553 ,3.2861 
46.6016 ,4.3346 ,1.0289 ,86.6669 ,18.7822 ,1.1811 ,2.3117 ,0.6789 ,23.4201 ,0.2342 ,0.0268 ,0.0038 ,0.2169 ,0.0393 ,0.0206 ,0.0010 ,0.0025 ,0.0199 ,0.0310 ,,0.0120 ,0.0006 ,0.0046 ,,0.0046 ,,0.0078 ,0.0014 ,0.0182 ,2.7512 ,0.8689 
52.4440 ,4.2261 ,0.8032 ,94.1189 ,3.5427 ,2.1375 ,2.0743 ,0.0194 ,32.1018 ,0.9099 ,,,0.1473 ,0.1431 ,,0.0051 ,,,,,0.0556 ,,,,0.0238 ,,0.0188 ,0.0042 ,,18.6987 ,3.0444 
61.6600 ,4.3091 ,0.1044 ,114.3530 ,9.7470 ,8.6949 ,1.3104 ,12.5740 ,25.9702 ,0.1738 ,54.9286 ,0.3279 ,7.2620 ,0.0482 ,0.0387 ,0.0118 ,,,,0.0248 ,,0.0065 ,,,0.0461 ,0.0030 ,,,,2.1604 ,5.4249 
