,,,,,,,,,,,,,,,,,,,,,,
Ti,V,Cr,Mn,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sn,Sb,Ba,W,Au,Tl,Bi,Pb,,
7.73 ,0.00 ,2.47 ,0.30 ,17.64 ,2.92 ,1.21 ,8.90 ,10.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.03 ,0.02 ,0.04 ,0.00 ,0.00 ,1.32 ,,
7.11 ,0.02 ,3.18 ,14.11 ,19.61 ,2.87 ,51.36 ,8.02 ,8.03 ,222.91 ,0.03 ,1.64 ,0.09 ,0.29 ,0.10 ,0.43 ,0.00 ,0.48 ,0.00 ,1.09 ,9.52 ,,
5.33 ,0.07 ,0.73 ,0.00 ,0.00 ,0.17 ,122.05 ,2.09 ,81.80 ,109.64 ,0.04 ,0.02 ,0.07 ,0.00 ,0.01 ,0.04 ,0.00 ,0.03 ,0.00 ,0.00 ,0.09 ,,
6.32 ,0.00 ,1.57 ,0.31 ,0.00 ,0.26 ,195.67 ,3.55 ,10.36 ,873.77 ,0.06 ,37.29 ,0.21 ,0.01 ,0.01 ,0.03 ,0.00 ,2.10 ,0.01 ,0.44 ,2.74 ,,
5.90 ,0.13 ,0.53 ,0.00 ,1.50 ,0.00 ,118.58 ,2.83 ,15.98 ,560.66 ,0.13 ,8.13 ,0.00 ,0.10 ,1.27 ,0.00 ,0.00 ,0.14 ,0.01 ,4.84 ,27.94 ,,
5.37 ,0.02 ,0.00 ,1.21 ,77.30 ,1.32 ,224.38 ,2.39 ,0.00 ,126.97 ,0.00 ,0.39 ,0.00 ,0.03 ,0.06 ,0.02 ,0.00 ,0.50 ,0.00 ,0.23 ,0.45 ,,
6.41 ,0.00 ,5.42 ,0.82 ,1.54 ,0.83 ,227.90 ,2.82 ,14.44 ,310.12 ,0.16 ,37.96 ,0.17 ,0.08 ,0.12 ,0.12 ,0.01 ,1.38 ,0.01 ,0.34 ,4.58 ,,
7.64 ,0.04 ,0.24 ,0.00 ,70.72 ,1.09 ,17.36 ,2.64 ,11.79 ,783.64 ,0.02 ,21.05 ,0.00 ,0.30 ,0.00 ,0.11 ,0.02 ,1.08 ,0.01 ,0.82 ,4.46 ,,
7.60 ,0.04 ,0.00 ,0.06 ,0.28 ,0.47 ,15.62 ,2.20 ,1.64 ,476.15 ,0.02 ,0.33 ,0.00 ,0.47 ,0.00 ,0.00 ,0.00 ,0.27 ,0.00 ,0.03 ,0.08 ,,
4.89 ,0.00 ,0.00 ,0.05 ,52.32 ,1.32 ,70.86 ,2.31 ,331.52 ,515.91 ,1.07 ,16.47 ,0.07 ,1.50 ,0.08 ,0.08 ,0.00 ,0.23 ,0.02 ,0.37 ,1.54 ,,
