,,,,,,,,,,,,,,,,,,,,,,
Ti,V,Cr,Mn,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sn,Sb,Ba,W,Au,Tl,Bi,Pb,,
29.88 ,1.23 ,4.07 ,2016.22 ,0.15 ,13.37 ,19236.29 ,6866.40 ,85170.56 ,0.00 ,145.03 ,757.73 ,12.55 ,1.22 ,15148.68 ,1.42 ,0.36 ,58.11 ,654.02 ,0.07 ,24166.27 ,,
8.33 ,0.41 ,0.96 ,1440.80 ,0.00 ,3.21 ,1696.48 ,724.52 ,23536.87 ,4.51 ,40.92 ,35.65 ,1.31 ,0.25 ,3240.76 ,0.20 ,0.01 ,2.47 ,423.46 ,0.01 ,436.43 ,,
8.01 ,0.10 ,0.81 ,901.49 ,0.00 ,0.26 ,1067.00 ,611.21 ,20463.81 ,0.00 ,24.12 ,57.25 ,1.50 ,0.12 ,3330.98 ,0.23 ,0.00 ,2.60 ,163.15 ,0.00 ,602.18 ,,
7.83 ,0.15 ,0.13 ,1113.45 ,0.01 ,1.71 ,2019.38 ,1183.26 ,10805.46 ,0.00 ,23.63 ,142.74 ,1.87 ,0.19 ,3933.80 ,0.51 ,0.00 ,4.07 ,361.56 ,0.00 ,7768.78 ,,
8.08 ,0.83 ,0.67 ,3017.61 ,99.51 ,5.91 ,4230.06 ,35.57 ,11998.06 ,2.43 ,7.30 ,415.63 ,1.26 ,0.00 ,51.56 ,1.94 ,0.03 ,2.25 ,115.98 ,98.39 ,322.94 ,,
7.13 ,6.01 ,2.31 ,4692.93 ,114.57 ,4.94 ,4790.05 ,46.54 ,17626.04 ,39.96 ,14.59 ,687.42 ,1.15 ,0.07 ,89.53 ,1.57 ,0.02 ,2.60 ,116.03 ,131.92 ,1237.90 ,,
7.22 ,0.21 ,3.88 ,4.95 ,0.40 ,21.42 ,2735.62 ,4437.28 ,325.57 ,30.96 ,0.20 ,37.05 ,10.85 ,0.85 ,22.54 ,18.53 ,0.07 ,0.96 ,0.78 ,1.33 ,154.12 ,,
5.12 ,1.31 ,6.03 ,96.64 ,0.77 ,10.39 ,632.69 ,48.32 ,14960.18 ,0.00 ,2.98 ,235.08 ,0.88 ,0.81 ,1410.37 ,5.70 ,0.12 ,5.17 ,82.89 ,1.62 ,810.51 ,,
6.65 ,1.12 ,0.82 ,1166.61 ,28.42 ,26.69 ,513.08 ,9604.19 ,4508.02 ,50.37 ,3.80 ,143.04 ,20.72 ,0.00 ,515.70 ,1.76 ,0.21 ,1.91 ,5.29 ,0.56 ,108.85 ,,
43.90 ,10.70 ,13.75 ,1572.25 ,43.52 ,101.68 ,2137.80 ,2120.30 ,9073.17 ,44.13 ,4.81 ,742.44 ,5.53 ,0.49 ,319.66 ,11.40 ,3.83 ,8.93 ,113.70 ,4.01 ,2723.07 ,,
5.07 ,0.66 ,4.14 ,293.39 ,38.85 ,70.25 ,1408.21 ,2112.60 ,9211.69 ,77.61 ,21.94 ,821.58 ,4.77 ,0.46 ,304.59 ,6.50 ,0.08 ,4.45 ,140.74 ,5.04 ,2185.95 ,,
48.01 ,14.63 ,9.94 ,996.35 ,147.01 ,112.80 ,1625.58 ,2476.81 ,4580.43 ,6.88 ,30.96 ,548.20 ,55.11 ,1.13 ,292.41 ,157.93 ,4.64 ,11.96 ,46.58 ,3.94 ,2564.41 ,,
15.49 ,0.82 ,1.89 ,1244.92 ,1.40 ,2.16 ,772.70 ,34.51 ,4606.98 ,51.26 ,0.98 ,621.21 ,0.19 ,0.06 ,505.68 ,2.02 ,10.94 ,81.30 ,16.29 ,0.01 ,391.60 ,,
25.93 ,0.89 ,14.66 ,6416.98 ,0.21 ,23.54 ,8822.75 ,5058.72 ,104185.70 ,0.00 ,193.99 ,497.41 ,6.45 ,3.15 ,31789.14 ,1.38 ,0.00 ,30.19 ,4766.33 ,0.05 ,2889.80 ,,
22.94 ,0.62 ,6.53 ,2980.51 ,0.05 ,15.83 ,21512.49 ,2467.20 ,51892.00 ,0.00 ,128.53 ,1242.96 ,334.49 ,1.58 ,30996.43 ,5.40 ,0.00 ,39.65 ,1235.03 ,0.02 ,2890.37 ,,
28.40 ,0.98 ,10.10 ,4556.66 ,0.36 ,18.63 ,11797.40 ,160.82 ,102436.56 ,181.17 ,187.46 ,567.15 ,5.48 ,0.00 ,13799.74 ,1.41 ,0.11 ,32.54 ,938.86 ,0.06 ,10831.89 ,,
32.65 ,4.36 ,9.32 ,984.59 ,4.92 ,22.07 ,5605.23 ,10721.22 ,59712.01 ,1039.96 ,16.36 ,146.21 ,1.01 ,0.00 ,712.16 ,0.85 ,0.00 ,18.88 ,190.19 ,0.01 ,1990.22 ,,
38.23 ,5.83 ,9.33 ,1584.96 ,169.82 ,257.96 ,1832.88 ,2968.37 ,18781.50 ,505.44 ,0.75 ,21.44 ,0.00 ,3.14 ,1841.31 ,7.39 ,0.32 ,3.88 ,56.06 ,1.86 ,2820.69 ,,
97.69 ,0.74 ,7.41 ,970.86 ,420.06 ,90.90 ,452.12 ,564.67 ,3811.92 ,2877.88 ,0.82 ,16.54 ,1.65 ,1.08 ,324.92 ,9.29 ,0.41 ,2.48 ,3.96 ,3.72 ,926.09 ,,
36.07 ,1.05 ,3.83 ,245.87 ,0.00 ,0.00 ,10937.60 ,3.89 ,7698.54 ,0.00 ,2.89 ,29.01 ,4.65 ,2.14 ,166.36 ,0.43 ,1.79 ,1.19 ,7.72 ,0.00 ,380.97 ,,
30.09 ,0.42 ,1.85 ,5224.82 ,0.21 ,7.41 ,5768.25 ,1145.64 ,102337.63 ,309.59 ,106.28 ,260.12 ,2.66 ,0.69 ,21911.73 ,1.00 ,0.00 ,22.59 ,1130.21 ,0.00 ,2501.30 ,,
22.34 ,5.54 ,9.28 ,16.52 ,2234.72 ,6.03 ,28.55 ,104.34 ,18.96 ,16.92 ,3.27 ,5.65 ,1.00 ,1.00 ,9.60 ,4.64 ,1.77 ,1.46 ,1.43 ,1.45 ,554.45 ,,
5.62 ,0.04 ,3.07 ,14.26 ,670.85 ,0.74 ,312.86 ,49.88 ,162.38 ,0.00 ,1.00 ,7.28 ,0.36 ,0.00 ,9.89 ,2.64 ,1.33 ,0.51 ,1.36 ,0.03 ,207.36 ,,
32.09 ,0.12 ,1.13 ,16.94 ,1342.56 ,0.91 ,9.10 ,124.39 ,20.58 ,0.00 ,0.56 ,0.07 ,1.65 ,0.19 ,0.31 ,5.06 ,2.55 ,0.04 ,0.03 ,0.05 ,19.46 ,,
28.31 ,0.13 ,2.63 ,7.70 ,2493.72 ,26.63 ,46.87 ,528.26 ,557.12 ,667.19 ,34.47 ,0.82 ,1.92 ,0.26 ,1.49 ,4.66 ,0.18 ,0.35 ,1.18 ,4.27 ,633.34 ,,
31.17 ,6.32 ,25.58 ,2.47 ,920.86 ,100.17 ,22.62 ,5.12 ,7.39 ,368.67 ,0.91 ,0.86 ,0.19 ,0.20 ,1.63 ,0.32 ,0.66 ,0.34 ,0.00 ,29.00 ,22.78 ,,
12.43 ,2.54 ,6.27 ,1.00 ,1082.54 ,34.41 ,13.62 ,14.90 ,6.16 ,429.60 ,0.03 ,0.20 ,0.12 ,0.31 ,0.00 ,0.98 ,1.14 ,0.03 ,0.02 ,6.38 ,1.30 ,,
8.86 ,0.04 ,0.47 ,0.65 ,76.58 ,12.99 ,11.90 ,17.00 ,12.68 ,764.38 ,0.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.11 ,0.00 ,0.00 ,0.00 ,0.01 ,0.70 ,,
5.85 ,0.02 ,0.00 ,0.00 ,68.20 ,25.10 ,7.98 ,1.15 ,15.06 ,280.54 ,0.00 ,0.07 ,0.00 ,0.02 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.08 ,,
5.75 ,0.00 ,0.00 ,0.00 ,22.66 ,1.70 ,7.93 ,1.01 ,14.15 ,0.00 ,0.03 ,0.09 ,0.15 ,0.07 ,1.50 ,0.05 ,0.00 ,0.01 ,0.12 ,1.61 ,5.92 ,,
8.40 ,0.04 ,0.00 ,0.51 ,57.22 ,1.15 ,10.31 ,3.21 ,36.39 ,50.74 ,0.00 ,0.80 ,0.08 ,0.00 ,0.43 ,0.07 ,0.00 ,0.02 ,0.00 ,4.89 ,10.78 ,,
35.16 ,4.36 ,6.63 ,4.47 ,760.88 ,104.15 ,27.68 ,30.07 ,5.54 ,354.50 ,0.41 ,0.46 ,0.19 ,0.44 ,1.43 ,0.38 ,0.26 ,0.24 ,0.00 ,22.43 ,5.73 ,,
15.66 ,4.64 ,5.55 ,0.57 ,886.74 ,37.47 ,43.59 ,5.45 ,6.54 ,2405.84 ,0.33 ,0.46 ,0.12 ,0.35 ,0.41 ,0.38 ,1.39 ,0.23 ,0.45 ,2.33 ,3.34 ,,
4.54 ,6.05 ,0.64 ,0.85 ,75.62 ,42.66 ,15.97 ,8.24 ,15.41 ,2046.02 ,0.23 ,0.00 ,0.00 ,0.00 ,0.35 ,0.41 ,0.00 ,0.00 ,0.10 ,2.41 ,0.65 ,,
46.66 ,0.16 ,8.63 ,4.96 ,769.57 ,1100.36 ,117.37 ,57.33 ,51.28 ,1948.76 ,0.08 ,0.08 ,1.32 ,3.00 ,0.86 ,1.08 ,0.99 ,0.14 ,0.05 ,9.98 ,1.90 ,,
52.92 ,0.37 ,1.34 ,8.13 ,3065.10 ,392.89 ,77.11 ,495.10 ,52.28 ,7250.71 ,5.04 ,0.47 ,1.77 ,0.46 ,0.59 ,1.79 ,3.47 ,0.00 ,0.02 ,8.20 ,11.51 ,,
47.16 ,0.16 ,0.00 ,7.34 ,3824.74 ,248.57 ,47.59 ,48.28 ,23.67 ,2802.49 ,13.78 ,1.08 ,0.00 ,4.83 ,0.00 ,0.62 ,1.73 ,0.76 ,0.17 ,27.24 ,25.48 ,,
43.06 ,0.00 ,5.57 ,3.52 ,1975.68 ,81.05 ,27.16 ,40.07 ,23.59 ,10624.83 ,0.24 ,2.04 ,0.00 ,3.84 ,0.00 ,0.00 ,0.00 ,0.08 ,0.09 ,2.30 ,7.46 ,,
52.23 ,0.15 ,1.03 ,2.46 ,849.92 ,25.88 ,48.46 ,45.20 ,22.22 ,10521.86 ,0.00 ,0.40 ,0.00 ,1.52 ,0.16 ,0.00 ,0.05 ,0.08 ,0.00 ,3.19 ,6.20 ,,
51.12 ,0.57 ,5.34 ,6.13 ,365.10 ,292.39 ,47.31 ,31.62 ,22.28 ,2220.73 ,2.04 ,0.27 ,0.70 ,0.46 ,0.56 ,1.69 ,3.77 ,0.00 ,0.34 ,3.20 ,21.21 ,,
27.36 ,0.36 ,0.00 ,5.34 ,2834.44 ,1044.57 ,57.55 ,182.09 ,13.67 ,1402.44 ,6.78 ,5.08 ,0.00 ,3.43 ,0.00 ,0.42 ,2.73 ,3.76 ,2.17 ,27.24 ,15.48 ,,
41.98 ,2.32 ,7.58 ,2.07 ,1798.67 ,36.00 ,22.33 ,51.75 ,23.58 ,921.19 ,0.00 ,0.00 ,1.38 ,0.00 ,0.09 ,6.12 ,0.00 ,0.11 ,0.00 ,13.75 ,1.32 ,,
57.89 ,1.91 ,9.89 ,52.76 ,2195.84 ,348.14 ,41.22 ,29.01 ,329.90 ,198.28 ,0.00 ,0.44 ,0.00 ,0.60 ,0.00 ,0.95 ,0.27 ,0.00 ,0.00 ,1.39 ,1.65 ,,
33.90 ,0.27 ,3.20 ,8.94 ,3652.73 ,825.60 ,9.05 ,35.65 ,216.04 ,0.00 ,5.83 ,0.74 ,0.00 ,0.00 ,0.18 ,2.10 ,0.04 ,0.06 ,0.01 ,3.38 ,3.78 ,,
46.43 ,2.48 ,8.71 ,47.34 ,437.23 ,387.48 ,24.27 ,75.59 ,352.82 ,778.60 ,0.00 ,5.24 ,1.54 ,1.99 ,0.00 ,1.95 ,0.20 ,0.16 ,0.01 ,15.38 ,9.08 ,,
63.63 ,8.79 ,0.00 ,0.00 ,1586.84 ,1046.70 ,28.53 ,51.21 ,358.10 ,1221.24 ,0.39 ,3.94 ,0.00 ,0.00 ,1.81 ,2.14 ,1.24 ,0.00 ,0.03 ,5.29 ,2.84 ,,
38.19 ,2.77 ,17.81 ,2.91 ,1183.48 ,1625.81 ,71.77 ,29.64 ,70.60 ,1747.19 ,0.42 ,14.58 ,1.35 ,0.72 ,4.36 ,1.30 ,30.15 ,0.42 ,0.01 ,122.20 ,124.82 ,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
