Analysis spots,Fe,S,Cu,Na,Mg,Al,Si,K,Ca,Rb,Sr,Ti,V,Cr,Mn,Pb,Co,Ni,Zn,Ga,Ge,As,Se,Mo,Ag,Cd,In,Sn,Sb,Te,Ba,W,Au,Tl,Bi
Isocubanite (N +AD0- 62),ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W80+AC0-01+AC0-2+AC0-22,407327,389361,185304,43.9,351,0.14,1308,25.7,b.d,0.24,0.09,1.03,0.01,b.d,956,4.63,1148,3.74,13532,0.06,8.58,0.52,528,0.07,0.87,27.4,2.95,5.93,0.04,60,0.02,b.d,0.01,0.02,0.26
W80+AC0-01+AC0-2+AC0-23,390849,395004,163682,233,13001,3.97,24883,152,396,0.68,3.25,0.47,0.39,b.d,1318,5.19,1086,22.8,8876,0.12,9.18,0.63,397,2.52,1.17,17.9,3.06,6.31,0.06,45.6,1.17,0.01,b.d,0.03,0.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrite II (N +AD0- 40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W08+AC0-01+AC0-03,518094,423281,26411,327,8026,0.56,18089,310,56.4,1.22,3.57,0.48,0.14,1.58,2426,2.44,2043,1.58,851,0.07,13.4,0.12,42.9,6.45,2.51,1.82,0.63,2.03,0.11,4.01,0.69,0.03,0.1,0.11,0.13
W08+AC0-01+AC0-43,484942,375583,1548,953,55046,274,78261,580,93.3,2.87,4.45,0,2.69,3.12,1645,0.94,62.1,7.73,957,0.15,12.5,2.14,7.33,9.46,0.35,0.69,0.07,0.63,0.03,b.d,0.47,0.07,0.03,0.09,b.d
W08+AC0-01+AC0-44,482913,415445,6411,901,31820,2.4,59398,692,268,3.73,4.56,0.03,1.71,3,1101,1.15,75.7,1.58,920,0.04,12.8,0.62,11.8,8.31,0.71,0.62,0.24,1.16,0.05,0.19,0.25,0.01,0.02,0.06,b.d
W08+AC0-01+AC0-45,524108,417732,1176,483,5401,11,47748,823,895,3.9,8.59,1.09,2.09,3.2,865,0.43,48.7,5.72,655,0.11,13.2,1.1,5.97,5.16,0.18,0.64,0.06,0.43,0.32,0.07,0.47,0.11,0.23,0.09,0.01
W08+AC0-01+AC0-63,530964,435618,22116,299,2295,0.83,6154,423,90.4,1.27,2.74,0.47,0.7,1.23,516,1.02,321,5.44,1151,0.01,11.2,1.04,15.8,3.73,0.74,1.67,0.8,2.56,0.32,1.31,0.46,0.05,0.11,0.2,0.02
W08+AC0-01+AC0-46,396073,357809,2327,1017,117610,21,119112,688,139,1.67,3.15,9.52,4.14,5.12,3702,0.42,132,27.7,1263,0.34,10.5,0,10.1,25.3,3.28,0.63,0.22,2.73,0.62,0.27,1.01,0.05,0.18,0.12,0.07
W08+AC0-01+AC0-47,537901,432512,3868,1728,1942,0.35,16926,2959,409,4.54,5,0.35,0.15,0.55,146,0.58,1137,18.3,377,0.01,11.1,1.18,37.4,13.1,0.45,0.29,0.04,0.23,0.05,b.d,0.26,0,0.07,0.11,0.1
