Fe+Q1:AC9Q1:AQ1:AC128,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
13,0.04,0.66,0.35,0.61,1.01,2.56,0.03,0.08,0.14,0.04,0.02,0.02
4,0.01,0.21,0.11,0.20,0.32,0.82,0.01,0.02,0.04,0.01,0.01,0.01
4,0.01,0.19,0.10,0.18,0.29,0.73,0.01,0.02,0.04,0.01,0.01,0.01
4,0.01,0.19,0.10,0.18,0.29,0.73,0.01,0.02,0.04,0.01,0.01,0.01
6,0.02,0.29,0.16,0.27,0.45,1.12,0.01,0.04,0.06,0.02,0.01,0.01
3,0.01,0.17,0.09,0.16,0.27,0.66,0.01,0.02,0.04,0.01,0.01,0.01
3,0.01,0.17,0.09,0.16,0.26,0.64,0.01,0.02,0.03,0.01,0.01,0.00
4,0.01,0.17,0.09,0.16,0.28,0.39,0.01,0.02,0.04,0.01,0.01,0.01
8,0.02,0.32,0.17,0.31,0.54,0.75,0.01,0.04,0.07,0.02,0.01,0.01
4,0.01,0.18,0.10,0.17,0.30,0.43,0.01,0.02,0.04,0.01,0.01,0.01
10,0.03,0.42,0.23,0.41,0.72,1.00,0.02,0.05,0.09,0.03,0.02,0.01
4,0.01,0.18,0.10,0.17,0.30,0.48,0.01,0.02,0.04,0.01,0.01,0.01
4,0.01,0.17,0.09,0.16,0.28,1.00,0.01,0.02,0.04,0.01,0.01,0.01
4,0.01,0.15,0.08,0.15,0.26,0.91,0.01,0.02,0.03,0.01,0.01,0.00
11,0.03,0.48,0.26,0.46,0.80,2.70,0.02,0.06,0.10,0.03,0.02,0.01
4,0.01,0.18,0.10,0.17,0.30,1.08,0.01,0.02,0.04,0.01,0.01,0.01
4,0.01,0.15,0.08,0.14,0.24,0.77,0.01,0.02,0.03,0.01,0.01,0.00
9,0.02,0.39,0.21,0.38,0.65,2.06,0.02,0.05,0.09,0.03,0.01,0.01
4,0.01,0.17,0.09,0.16,0.28,0.87,0.01,0.02,0.04,0.01,0.01,0.01
10,0.03,0.42,0.23,0.41,0.70,2.20,0.02,0.05,0.09,0.03,0.02,0.01
5,0.01,0.20,0.11,0.19,0.33,1.03,0.01,0.03,0.04,0.01,0.01,0.01
4,0.01,0.16,0.08,0.15,0.26,0.80,0.01,0.02,0.04,0.01,0.01,0.01
9,0.02,0.38,0.21,0.37,0.63,1.96,0.02,0.05,0.09,0.03,0.01,0.01
4,0.01,0.18,0.10,0.16,0.28,0.87,0.01,0.02,0.04,0.01,0.01,0.01
4,0.01,0.18,0.10,0.17,0.29,0.90,0.01,0.02,0.04,0.01,0.01,0.01
7,0.02,0.30,0.16,0.29,0.50,1.54,0.01,0.04,0.07,0.02,0.01,0.01
5,0.01,0.21,0.10,0.19,0.32,0.97,0.01,0.03,0.04,0.01,0.01,0.01
5,0.01,0.23,0.12,0.21,0.37,1.12,0.01,0.03,0.05,0.02,0.01,0.01
4,0.01,0.18,0.10,0.17,0.29,0.89,0.01,0.02,0.04,0.01,0.01,0.01
9,0.02,0.42,0.23,0.40,0.68,2.08,0.02,0.05,0.09,0.03,0.02,0.01
5,0.01,0.20,0.11,0.20,0.33,1.01,0.01,0.03,0.04,0.01,0.01,0.01
4,0.01,0.18,0.10,0.17,0.30,0.89,0.01,0.02,0.04,0.01,0.01,0.01
4,0.01,0.18,0.10,0.17,0.29,0.86,0.01,0.02,0.04,0.01,0.01,0.01
4,0.01,0.19,0.10,0.18,0.31,0.92,0.01,0.03,0.04,0.01,0.01,0.01
6,0.02,0.26,0.14,0.25,0.42,1.24,0.01,0.03,0.06,0.02,0.01,0.01
4,0.01,0.17,0.09,0.16,0.28,0.83,0.01,0.02,0.04,0.01,0.01,0.01
6,0.02,0.26,0.14,0.25,0.42,1.25,0.01,0.03,0.06,0.02,0.01,0.01
4,0.01,0.18,0.10,0.17,0.29,0.86,0.01,0.02,0.04,0.01,0.01,0.01
8,0.02,0.34,0.17,0.30,0.52,1.52,0.01,0.04,0.07,0.02,0.01,0.01
3,0.01,0.20,0.11,0.18,0.28,0.52,0.01,0.02,0.04,0.01,0.01,0.01
7,0.03,0.42,0.22,0.37,0.59,1.10,0.02,0.04,0.08,0.02,0.01,0.01
3,0.01,0.18,0.10,0.16,0.26,0.47,0.01,0.02,0.03,0.01,0.01,0.00
3,0.01,0.21,0.11,0.19,0.30,0.54,0.01,0.02,0.04,0.01,0.01,0.01
3,0.01,0.21,0.11,0.18,0.29,0.49,0.01,0.02,0.04,0.01,0.01,0.01
6,0.02,0.37,0.20,0.33,0.51,0.92,0.01,0.04,0.07,0.01,0.01,0.01
3,0.01,0.20,0.11,0.17,0.27,0.48,0.01,0.02,0.04,0.01,0.01,0.01
6,0.03,0.42,0.22,0.37,0.57,1.00,0.02,0.05,0.08,0.02,0.01,0.01
3,0.01,0.21,0.11,0.19,0.29,0.51,0.01,0.02,0.04,0.01,0.01,0.01
4,0.02,0.28,0.15,0.25,0.39,0.67,0.01,0.03,0.05,0.01,0.01,0.01
9,0.04,0.62,0.33,0.55,0.86,1.48,0.02,0.07,0.12,0.02,0.02,0.02
5,0.02,0.32,0.17,0.25,0.39,0.68,0.01,0.03,0.05,0.01,0.01,0.01
4,0.02,0.24,0.13,0.21,0.33,0.56,0.01,0.03,0.04,0.01,0.01,0.01
5,0.02,0.30,0.16,0.27,0.42,0.71,0.01,0.03,0.05,0.01,0.01,0.01
3,0.01,0.20,0.11,0.18,0.27,0.46,0.01,0.02,0.04,0.01,0.01,0.01
3,0.01,0.19,0.10,0.17,0.26,0.43,0.01,0.02,0.04,0.01,0.01,0.01
7,0.03,0.46,0.25,0.41,0.63,1.05,0.02,0.05,0.08,0.02,0.01,0.01
3,0.01,0.18,0.09,0.16,0.24,0.40,0.01,0.02,0.03,0.01,0.01,0.00
9,0.04,0.64,0.34,0.56,0.88,1.32,0.02,0.07,0.11,0.02,0.02,0.02
3,0.01,0.20,0.11,0.17,0.27,0.44,0.01,0.02,0.03,0.01,0.01,0.01
6,0.02,0.38,0.20,0.33,0.52,0.84,0.01,0.04,0.07,0.01,0.01,0.01
3,0.01,0.22,0.12,0.19,0.30,0.47,0.01,0.02,0.04,0.01,0.01,0.01
6,0.03,0.43,0.21,0.35,0.54,0.87,0.02,0.04,0.08,0.02,0.01,0.01
3,0.01,0.21,0.11,0.18,0.28,0.45,0.01,0.02,0.04,0.01,0.01,0.01
3,0.01,0.20,0.11,0.18,0.28,0.43,0.01,0.02,0.04,0.01,0.01,0.01
3,0.01,0.21,0.11,0.17,0.27,0.41,0.01,0.02,0.04,0.01,0.01,0.01
